FIRM,SEGMENT,HQ_REGION,FOUNDED,TEAM_SIZE,ANNUAL_REV,REV_GROWTH,RD_SPEND,AI_STATUS,CLOUD_STACK,DIGITAL_SALES,COMPLIANCE_TIER,FRAUD_EXPOSURE,FUNDING_STAGE,CUSTOMER_ACCTS,AI_ADOPTED
OakCircuit Ops,Banking SaaS,"New York, NY",2002,417.0,141638144.0,15.5,22340000.0,AI Enabled,Cloud-Forward,73.0,Tier 3,Moderate,Series C,339900.0,1.0
OakSignal Systems,Banking SaaS,"New York, NY",2003,295.0,104620000.0,14.7,15310000.0,Adopted,Cloud-Forward,68.0,Tier 2,Low,Series C,49600.0,1.0
BeaconSummit Ops,Banking SaaS,"Charlotte, NC",2006,263.0,81900000.0,15.0,13050000.0,NO,Cloud-Forward,70.0,Tier 3,Moderate,Series C,332335.0,0.0
NorthMint Suite,Banking SaaS,"New York, NY",2001,163.0,65700000.0,5.6,9800000.0,NO,Cloud-Native,60.0,Tier 3,Moderate,Series B,97069.0,0.0
IronLedger Core,Banking SaaS,"Atlanta, GA",2003,164.0,65550000.0,10.6,9660000.0,Pilot,Hybrid Stack,69.0,Tier 3,Moderate,Series B,102781.0,1.0
FrontierHarbor Suite,Banking SaaS,"Boston, MA",2019,171.0,55960000.0,12.2,10408560.000000002,Not Yet,Cloud native,70.0,Tier 3,Moderate,Series B,160877.0,0.0
OakFoundry Ops,Banking SaaS,"Boston, MA",2017,98.0,42730000.0,9.5,5255790.000000001,NO,Hybrid Stack,64.0,Tier 3,Moderate,Series B,63433.0,0.0
NorthFoundry Systems,Banking SaaS,"Seattle, WA",2021,166.0,38200000.0,7.0,4033209.0,YES,Hybrid,76.0,Tier 2,Low,Series B,77126.0,1.0
CobaltFoundry Core,Banking SaaS,"Seattle, WA",2005,103.0,27360000.0,8.3,4099999.9999999995,Yes,Cloud forward,52.0,Tier 3,Moderate,Series B,181154.0,1.0
SignalCircuit Core,Banking SaaS,"Chicago, IL",2006,52.0,13600000.0,8.1,2400000.0,Legacy Only,Cloud-Forward,78.0,Tier 2,Low,Series A,160254.0,0.0
AtlasPoint Sure,InsurTech,"Seattle, WA",1998,762.0,149113475.0,10.8,14127072.0,Legacy Only,Hybrid Stack,75.0,Tier 3,Moderate,Series C,710368.0,0.0
SignalPeak Cover,InsurTech,"Boston, MA",2017,782.0,147450000.0,11.7,14340000.0,AI Enabled,Legacy Core,50.0,Tier 3,Moderate,Series C,867800.0,1.0
CrestLine Shield,InsurTech,"San Francisco, CA",2002,559.0,140380000.0,8.3,14060000.0,Legacy Only,Cloud-Native,82.0,Tier 2,Moderate,Series C,599800.0,0.0
NorthLedger Shield,InsurTech,"Boston, MA",2020,534.0,127053274.0,8.6,,Yes,Cloud-Forward,67.0,Tier 2,Low,Series C,491300.0,1.0
FrontierCircuit Policy,InsurTech,"Boston, MA",2012,404.0,112872694.0,6.3,10400000.0,Legacy Only,Cloud-Forward,75.0,Tier 3,Moderate,Series C,1205410.0,0.0
PrimeCircuit Shield,InsurTech,"New York, NY",2007,385.0,108710000.0,13.7,12310000.0,Legacy Only,Cloud-Native,83.0,Tier 4,Elevated,Series C,469400.0,0.0
