TEAM_REF,HOME_BASE,NETWORK_ZONE,DISTANCE_TO_NODE,ASSIGNMENT_NOTE,TRACK,AI_INTENSITY,INNOVATION_SCORE,SPRING_NOTE,PITCH_TRACK,ELIGIBILITY_SCORE,SERVER_CREDITS,PANEL_NOTE
SC001,Mesa Court West,Dorm uplink A,201 m,Housing export preserved the original backbone routing label.,Campus Commerce,52.4 gpu-hrs/wk,61.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,82.9 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC002,Middle Earth Towers,Residential switch B,0.33 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,~57.1 model hrs,57.9 score,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,Pitch rating = 81.0,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC003,Campus Village,Student village relay,~0.59km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,62.9 builder hours,73.7 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,92.1 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC004,Plaza Verde,ACC uplink east,Distance: 827 meters,Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,65.8 gpu-hrs/wk,72.0 score,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,panel avg 89.5,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC005,Arroyo Vista,Greek village relay,0.81 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,~59.7 model hrs,57.1 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,80.9 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC006,Verano Place,Graduate housing switch,"1,100 meters (sync route)",Administrative placement log was finalized before spring showcase scoring.,Mobility,55.5 builder hours,59.3 score,Archive note says a hackathon week may have inflated some compute logs.,Mobility,Score: 80.4 pts,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC007,Stanford Court,UTC west relay,"1,156 m",Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,58.7 gpu-hrs/wk,72.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,85.7 / 100,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC008,Berkeley Court,UTC south relay,1.32 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,~46.3 model hrs,52.0 score,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,Pitch rating = 76.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC009,Mesa Court West,Dorm uplink A,~0.28km,Housing export preserved the original backbone routing label.,Mobility,142.0 builder hours,72.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,85.5 score,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC010,Middle Earth Towers,Residential switch B,Distance: 428 meters,Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,68.2 gpu-hrs/wk,61.0 score,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,panel avg 82.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC011,Campus Village,Student village relay,0.66 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,Creator Tools,~50.2 model hrs,54.4 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Creator Tools,78.4 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC012,Plaza Verde,ACC uplink east,718 meters (sync route),Student hub was matched to the nearest sync cabinet used by the incubator.,Mobility,55.1 builder hours,61.0 score,Innovation review kept the original mixed score formatting from the incubator export.,Mobility,Score: 82.4 pts,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC013,Arroyo Vista,Greek village relay,873 m,Housing export preserved the original backbone routing label.,Campus Commerce,42.8 gpu-hrs/wk,57.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,81.9 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC014,Verano Place,Graduate housing switch,1.07 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,~44.3 model hrs,53.0 score,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,Pitch rating = 78.3,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC015,Stanford Court,UTC west relay,~1.13km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,45.6 builder hours,69.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,87.3 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC016,Berkeley Court,UTC south relay,"Distance: 1,454 meters",Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,34.1 gpu-hrs/wk,51.8 score,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,panel avg 77.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
