TEAM_REF,HOME_BASE,NETWORK_ZONE,DISTANCE_TO_NODE,ASSIGNMENT_NOTE,TRACK,AI_INTENSITY,INNOVATION_SCORE,SPRING_NOTE,PITCH_TRACK,ELIGIBILITY_SCORE,SERVER_CREDITS,PANEL_NOTE,DISTANCE_M,ABOVE_CUTOFF,SCORE_CENTERED
SC001,Mesa Court West,Dorm uplink A,201 m,Housing export preserved the original backbone routing label.,Campus Commerce,52.4,61.0,Usage load reflects model prototyping during the winter and spring build cycle.,Campus Commerce,82.9,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,201.0,0,-2.0999999999999943
SC002,Middle Earth Towers,Residential switch B,0.33 km from backbone,Administrative placement log was finalized before spring showcase scoring.,Creator Tools,57.1,57.9,Archive note says a hackathon week may have inflated some compute logs.,Creator Tools,81.0,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,330.0,0,-4.0
SC003,Campus Village,Student village relay,~0.59km,Distance field kept the archive unit exactly as shown in the facilities pull.,Mobility,62.9,73.7,Metrics were pulled after demo day QA and were not unit-normalized.,Mobility,92.1,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,590.0,1,7.099999999999994
SC004,Plaza Verde,ACC uplink east,Distance: 827 meters,Student hub was matched to the nearest sync cabinet used by the incubator.,Campus Commerce,65.8,72.0,Innovation review kept the original mixed score formatting from the incubator export.,Campus Commerce,89.5,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,827.0,1,4.5
SC005,Arroyo Vista,Greek village relay,0.81 km | fiber hop,Housing export preserved the original backbone routing label.,Creator Tools,59.7,57.1,Usage load reflects model prototyping during the winter and spring build cycle.,Creator Tools,80.9,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,810.0,0,-4.099999999999994
SC006,Verano Place,Graduate housing switch,"1,100 meters (sync route)",Administrative placement log was finalized before spring showcase scoring.,Mobility,55.5,59.3,Archive note says a hackathon week may have inflated some compute logs.,Mobility,80.4,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,1100.0,0,-4.599999999999994
SC007,Stanford Court,UTC west relay,"1,156 m",Distance field kept the archive unit exactly as shown in the facilities pull.,Campus Commerce,58.7,72.0,Metrics were pulled after demo day QA and were not unit-normalized.,Campus Commerce,85.7,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,1156.0,1,0.7000000000000028
SC008,Berkeley Court,UTC south relay,1.32 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,Creator Tools,46.3,52.0,Innovation review kept the original mixed score formatting from the incubator export.,Creator Tools,76.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,1320.0,0,-8.200000000000003
SC009,Mesa Court West,Dorm uplink A,~0.28km,Housing export preserved the original backbone routing label.,Mobility,82.0,72.0,Usage load reflects model prototyping during the winter and spring build cycle.,Mobility,85.5,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,280.0,1,0.5
SC010,Middle Earth Towers,Residential switch B,Distance: 428 meters,Administrative placement log was finalized before spring showcase scoring.,Campus Commerce,68.2,61.0,Archive note says a hackathon week may have inflated some compute logs.,Campus Commerce,82.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,428.0,0,-2.799999999999997
